Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
405-4059216-4541150,04-30-22,Amazon,Amazon.in,Set,597,TELANGANA
405-1152015-7333945,04-30-22,Amazon,Amazon.in,Set,888,BIHAR
406-0177436-6731556,04-30-22,Amazon,Amazon.in,kurta,406,TELANGANA
406-0715107-8168308,04-30-22,Amazon,Amazon.in,Set,1186,UTTARAKHAND
403-0104882-7373900,04-30-22,Amazon,Amazon.in,Western Dress,791,Gujarat
403-0104882-7373900,04-30-22,Amazon,Amazon.in,Western Dress,807,Gujarat
403-0104882-7373900,04-30-22,Amazon,Amazon.in,Western Dress,807,Gujarat
405-3002282-6797102,04-30-22,Amazon,Amazon.in,kurta,311,WEST BENGAL
407-8466904-3461908,04-30-22,Amazon,Amazon.in,Top,387,MAHARASHTRA
171-3305587-5364338,04-30-22,Amazon,Amazon.in,kurta,348,TELANGANA
406-8961316-8137943,04-30-22,Merchant,Amazon.in,Set,597,ASSAM
406-8961316-8137943,04-30-22,Merchant,Amazon.in,Set,549,ASSAM
171-2813040-8296320,04-30-22,Amazon,Amazon.in,Set,635,KARNATAKA
408-9845791-1393151,04-30-22,Amazon,Amazon.in,Set,597,PUNJAB
402-4277204-2348328,04-30-22,Amazon,Amazon.in,Set,790,MADHYA PRADESH
171-3049339-2085136,04-30-22,Amazon,Amazon.in,kurta,375,ASSAM
405-9928526-2470747,04-30-22,Amazon,Amazon.in,Set,1115,TELANGANA
405-4908072-0260360,04-30-22,Merchant,Amazon.in,kurta,579,KARNATAKA
406-3984186-5973150,04-30-22,Amazon,Amazon.in,Set,788,TAMIL NADU
171-8635309-7508346,04-30-22,Amazon,Amazon.in,Set,597,TAMIL NADU
171-0293372-4913973,04-30-22,Amazon,Amazon.in,Set,,KARNATAKA
402-8288606-4313118,04-30-22,Amazon,Amazon.in,kurta,517,HIMACHAL PRADESH
402-8746990-6412346,04-30-22,Amazon,Amazon.in,kurta,442,TAMIL NADU
402-0294212-5431551,04-30-22,Amazon,Amazon.in,kurta,399,UTTAR PRADESH
406-1530134-2105912,04-30-22,Amazon,Amazon.in,kurta,518,KARNATAKA
403-5222550-4437140,04-30-22,Amazon,Amazon.in,kurta,348,TAMIL NADU
408-1482435-5202714,04-30-22,Merchant,Amazon.in,Set,788,CHHATTISGARH
403-6442534-2769112,04-30-22,Amazon,Amazon.in,Top,,UTTAR PRADESH
408-3113070-0750756,04-30-22,Amazon,Amazon.in,Set,597,MAHARASHTRA
404-7796841-1880317,04-30-22,Amazon,Amazon.in,kurta,696,DELHI
405-2142542-0941949,04-30-22,Amazon,Amazon.in,kurta,363,TELANGANA
405-0286717-7761132,04-30-22,Amazon,Amazon.in,kurta,299,TELANGANA
406-9021273-9221106,04-30-22,Amazon,Amazon.in,Western Dress,690,ASSAM
404-5381335-4577925,04-30-22,Amazon,Amazon.in,Top,574,KARNATAKA
171-0131752-2560336,04-30-22,Merchant,Amazon.in,Set,1399,UTTAR PRADESH
407-4235449-1353916,04-30-22,Merchant,Amazon.in,Set,999,UTTAR PRADESH
171-8061614-5688327,04-30-22,Amazon,Amazon.in,Set,999,ANDHRA PRADESH
